tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
-0.99,-0.11,-1.91,0.93,1.17,0.47,0.07,1.54,1.36,0.35,-0.02,0.81,0.09,-0.78,-0.15,-0.21,0.11,-0.12,-0.09,0.42,-0.54,0.16,0.04,0.37,-0.1,0.04,-0.37,0.17,-0.11,-0.39,-0.24,0.2,-0.03,0.03,-0.17,0.15,-0.25,-0.01,-0.04,0.02,-0.03,-0.22,0.08
-0.85,0.03,-2.03,1.2,0.46,0.16,0.35,1.72,1.49,-0.06,-0.22,0.92,0.15,-0.12,-0.08,0.07,0.19,0.15,0.8,0.61,-0.24,-0.1,0.23,0.66,-0.13,0.12,-0.3,0.15,0.14,-0.12,-0.21,-0.24,-0.09,0.03,-0.14,0.19,0.16,-0.06,-0.09,0.0,-0.06,-0.09,0.01
-0.82,-0.15,-2.07,1.33,1.2,0.99,-0.12,1.27,1.26,0.5,-0.51,0.29,0.12,-0.14,-0.23,0.43,-0.29,-0.21,0.49,0.58,-0.18,0.19,-0.16,0.68,-0.29,0.29,-0.17,0.15,0.08,-0.38,-0.02,0.21,-0.04,0.18,-0.13,0.14,-0.01,-0.08,0.06,0.08,-0.05,-0.16,0.03
-0.94,0.1,-2.23,0.77,1.39,-0.09,0.1,1.54,1.67,0.75,-0.64,0.32,-0.41,-0.86,-0.53,-0.47,0.3,-0.1,0.84,0.18,-0.49,-0.11,0.16,1.19,0.0,-0.18,-0.25,0.22,0.26,0.05,0.03,-0.29,0.35,0.37,0.32,-0.11,-0.06,0.04,-0.2,0.13,-0.13,-0.11,0.07
-0.89,-0.06,-2.35,0.93,1.5,0.1,0.22,1.51,2.16,0.94,-0.37,0.31,-0.46,0.01,0.14,-0.61,-0.27,0.15,0.41,-0.13,-0.33,-0.55,0.4,0.69,0.08,0.24,0.11,-0.21,0.08,0.12,0.01,0.03,0.22,0.17,-0.01,-0.02,0.13,-0.18,-0.04,0.05,-0.2,0.06,-0.03
-1.02,-0.15,-1.93,0.68,0.99,0.21,0.33,1.65,1.84,1.05,-0.5,-0.28,0.35,-0.21,-0.6,-0.21,-0.13,-0.41,0.38,0.3,0.17,0.1,-0.22,0.19,0.08,-0.25,0.09,0.1,0.05,-0.01,-0.28,0.35,0.52,-0.12,0.46,0.17,0.09,-0.15,0.03,-0.03,-0.09,0.04,-0.01
-1.07,0.17,-2.2,0.64,1.21,-0.1,0.16,0.81,0.95,0.9,-0.88,0.91,0.44,-0.6,-0.24,0.12,0.34,-0.07,0.26,-0.12,-0.03,-0.25,0.02,0.04,-0.0,0.26,-0.19,0.36,0.17,-0.04,-0.3,-0.12,0.03,0.05,0.13,-0.02,0.23,-0.08,-0.22,-0.03,-0.09,0.14,-0.11
-0.97,0.15,-2.25,0.77,1.06,0.66,0.18,1.78,1.99,1.59,0.28,0.51,0.02,-0.49,-0.68,-0.3,0.03,-0.17,0.07,0.01,-0.39,-0.23,-0.26,0.29,-0.03,0.15,-0.31,0.33,0.01,-0.16,-0.06,-0.02,-0.07,-0.13,0.07,0.05,0.16,0.16,0.02,-0.19,0.01,0.01,-0.07
-0.87,-0.31,-2.01,1.26,0.97,0.07,-0.16,1.83,1.6,0.65,-0.17,0.46,0.19,-0.7,-0.75,0.21,0.62,-0.22,0.59,0.08,-0.19,-0.79,0.03,0.78,-0.0,0.19,0.16,0.01,-0.1,-0.45,0.04,-0.09,0.1,0.06,0.13,0.14,0.16,-0.05,0.1,0.09,-0.14,-0.08,0.17
-1.07,0.04,-1.83,1.05,0.78,0.43,-0.29,1.24,1.31,1.11,-0.45,0.56,0.19,-0.7,-0.87,-0.25,0.61,-0.06,-0.1,0.15,-0.17,-0.44,0.15,-0.08,0.03,-0.13,-0.24,0.07,-0.09,-0.11,-0.05,0.11,-0.17,-0.13,0.2,0.03,-0.13,-0.07,0.04,0.13,-0.25,-0.07,0.08
-0.88,0.13,-2.39,0.72,0.97,-0.03,0.17,1.34,1.48,0.71,-0.79,-0.02,-0.09,-1.12,-1.22,0.07,0.14,-0.38,0.15,0.03,0.13,-0.03,-0.1,0.31,0.25,-0.05,0.06,0.43,0.39,-0.26,0.17,-0.34,0.17,-0.29,0.16,0.01,0.07,0.05,-0.02,0.07,-0.06,-0.06,0.16
-0.87,0.23,-1.74,0.76,1.18,0.16,-0.07,1.59,1.06,1.49,0.14,-0.43,0.02,-0.31,-0.81,0.29,0.12,-0.5,-0.22,0.47,-0.81,-0.68,0.48,0.61,-0.23,-0.26,-0.27,0.06,-0.22,-0.1,0.15,-0.34,0.06,-0.19,0.16,0.3,-0.19,0.03,-0.05,0.02,-0.18,-0.12,0.21
-1.01,0.14,-2.38,0.66,1.03,0.04,-0.25,1.55,1.35,1.57,-0.16,-0.37,0.1,-0.9,-1.65,0.73,0.17,-0.07,-0.21,0.34,-0.69,-0.78,0.14,0.36,-0.31,-0.21,-0.08,0.12,0.22,-0.05,-0.11,-0.52,-0.09,-0.21,0.09,-0.2,0.04,0.41,-0.06,0.15,-0.01,-0.09,0.12
-1.06,0.25,-2.36,0.75,0.87,-0.01,-0.22,1.06,1.14,1.03,0.59,-0.08,0.08,-0.33,-1.21,0.26,0.2,0.18,-0.0,0.47,-0.32,-0.98,-0.3,0.49,0.19,0.18,0.31,0.02,0.08,-0.53,-0.5,-0.38,-0.31,0.14,0.25,0.13,0.01,-0.06,0.15,0.03,-0.21,-0.12,-0.01
-1.01,0.39,-2.5,0.77,0.95,0.06,-0.59,1.32,1.31,1.41,0.04,-0.37,0.5,-0.18,-0.84,0.59,0.53,-0.13,0.12,-0.13,-0.49,-0.52,-0.13,0.52,0.04,0.19,0.25,0.06,0.08,-0.15,-0.12,-0.06,-0.07,0.34,0.27,-0.17,0.02,0.22,0.19,0.16,-0.1,-0.04,0.09
-0.89,0.15,-2.08,1.05,0.99,0.05,0.05,1.54,1.51,0.67,-0.34,-0.25,-0.35,-0.76,-0.66,-0.18,0.05,0.35,0.24,0.2,0.21,-0.83,0.11,0.38,-0.43,-0.17,0.41,0.04,-0.17,-0.26,0.08,0.11,0.06,-0.04,0.25,0.02,0.12,0.01,-0.12,-0.03,-0.07,-0.1,0.09
-0.95,0.06,-2.34,0.8,0.53,-0.07,0.2,1.06,1.18,0.44,-0.02,0.17,-0.25,-0.18,-0.73,-0.06,0.45,-0.13,0.14,-0.03,-0.04,-0.14,0.09,0.77,-0.07,-0.08,0.25,-0.23,0.14,-0.14,-0.14,0.03,-0.1,0.17,0.1,0.06,-0.04,0.18,-0.21,0.2,-0.05,0.01,0.03
-1.01,0.17,-1.83,1.23,0.49,0.12,-0.01,1.02,0.83,0.53,0.51,-0.2,0.2,0.29,-0.57,0.23,0.11,0.78,0.19,0.12,0.36,-0.54,-0.38,0.62,-0.07,-0.35,0.59,0.26,0.16,0.01,0.14,-0.34,0.06,-0.16,0.04,0.24,-0.01,-0.06,-0.1,0.09,-0.14,-0.07,0.04
-0.84,0.16,-2.36,0.9,0.49,0.07,0.12,1.54,1.2,0.86,0.89,0.3,-0.57,-0.44,-0.94,0.48,-0.1,0.11,-0.35,0.54,-0.48,-0.21,-0.15,0.56,-0.07,0.1,-0.31,-0.1,-0.09,-0.03,0.16,-0.49,-0.14,-0.03,-0.09,-0.17,0.08,0.16,0.09,0.07,-0.09,-0.15,0.08
-0.7,0.06,-2.09,1.1,0.79,0.27,-0.44,1.42,0.98,0.71,-0.2,0.22,0.03,-0.99,-0.88,1.26,-0.18,-0.24,-0.82,0.48,-0.27,-0.37,0.35,0.17,-0.47,0.07,0.05,-0.19,-0.07,0.03,-0.39,0.01,-0.53,-0.29,-0.35,0.11,0.01,-0.06,0.07,-0.13,-0.03,-0.15,-0.02
-0.76,0.15,-2.04,0.81,0.58,0.21,0.2,2.28,1.1,1.3,1.21,0.34,0.08,0.41,-0.75,0.37,0.18,-0.1,-0.37,0.58,-0.17,-0.06,0.69,0.03,-0.14,-0.08,-0.04,0.01,-0.36,-0.09,-0.19,-0.42,-0.52,-0.17,-0.29,-0.04,-0.05,0.16,0.18,0.05,0.03,-0.24,-0.01
-0.76,-0.15,-2.02,1.4,0.73,-0.04,0.25,1.61,0.77,0.37,0.41,0.53,0.37,-0.04,-0.6,0.52,-0.1,0.5,0.2,0.18,-0.25,-0.42,0.1,0.12,-0.44,0.06,0.29,0.01,0.18,-0.3,-0.1,-0.08,-0.59,-0.38,0.08,0.03,0.18,0.14,-0.15,0.03,0.11,-0.15,0.06
-1.01,0.21,-2.2,0.83,0.58,-0.17,-0.01,0.78,0.59,0.14,0.16,0.39,-0.63,-0.2,-0.19,0.08,0.32,-0.43,-0.3,0.56,-0.61,0.32,-0.04,0.61,0.21,-0.25,-0.39,0.16,0.1,-0.33,0.51,-0.15,-0.14,-0.15,0.0,0.32,-0.04,-0.1,-0.32,0.14,0.01,-0.18,0.09
-0.96,0.37,-1.86,1.07,0.85,-0.46,0.05,1.68,1.34,0.92,0.06,0.64,0.45,-0.28,-0.78,0.14,0.31,0.27,0.44,0.32,-0.21,-0.44,0.0,0.75,-0.07,-0.13,-0.2,-0.15,0.36,-0.08,-0.24,-0.25,-0.32,0.43,-0.0,0.45,0.13,-0.08,-0.24,0.01,-0.08,-0.1,0.07
-0.84,0.1,-2.24,1.32,0.67,0.06,0.05,1.61,1.69,0.48,-0.06,1.12,-0.03,-0.89,0.26,0.35,0.4,0.68,0.23,-0.02,0.42,-0.33,-0.0,0.58,-0.05,0.46,0.14,0.06,-0.2,-0.08,0.06,-0.19,0.18,0.56,-0.02,0.15,0.07,0.05,-0.1,-0.12,0.02,0.01,0.0
-0.76,0.39,-1.82,0.77,0.38,-0.17,-0.06,1.36,0.65,0.21,-0.32,0.33,0.31,0.55,-0.23,-0.18,0.1,0.24,-0.24,0.21,-0.14,-0.46,0.49,0.86,-0.42,-0.17,-0.04,-0.09,-0.26,0.05,-0.54,-0.21,0.11,0.08,0.12,0.13,0.15,-0.13,-0.14,-0.01,0.07,0.06,-0.04
-0.96,0.01,-2.2,1.27,0.7,-0.25,0.24,1.9,1.0,0.44,0.74,0.62,0.26,-0.08,-0.21,0.79,0.0,0.45,0.12,0.12,0.2,0.23,-0.11,0.93,-0.15,-0.17,0.15,0.14,-0.1,-0.15,-0.11,-0.15,-0.25,0.11,-0.05,0.14,0.03,-0.04,-0.09,-0.03,0.06,-0.06,0.01
-0.84,-0.03,-2.34,1.13,0.63,-0.39,0.48,1.97,1.39,0.2,0.22,1.05,0.08,-0.29,0.04,0.16,0.35,0.45,-0.02,0.05,0.19,-0.05,0.02,0.65,-0.29,-0.03,0.18,-0.19,0.13,-0.3,0.06,0.07,-0.2,0.15,-0.19,-0.08,-0.1,0.01,0.06,0.07,-0.08,-0.13,0.1
-0.84,0.13,-2.33,1.09,0.7,0.22,0.42,1.34,1.25,0.59,0.26,0.72,-0.34,-0.07,-0.49,-0.29,0.71,-0.09,-0.03,-0.74,-0.18,0.06,-0.36,0.86,0.26,-0.23,-0.21,0.08,0.33,-0.26,0.15,-0.18,-0.04,-0.03,-0.18,0.0,-0.11,0.01,-0.25,-0.15,-0.02,-0.07,0.08
-0.83,-0.01,-2.46,0.95,0.68,-0.21,0.76,1.82,1.4,0.72,0.32,0.48,-0.43,-0.59,0.76,0.71,-0.07,0.46,0.09,-0.21,0.04,-0.52,0.22,0.56,-0.21,0.2,-0.2,0.18,0.22,-0.61,0.05,0.05,-0.15,-0.04,-0.4,0.07,-0.14,0.13,-0.12,-0.03,-0.07,0.12,0.02
-0.95,-0.17,-2.16,1.11,1.77,0.18,0.41,1.43,1.18,0.74,0.25,0.46,-0.92,-0.25,0.33,-0.13,0.4,0.01,-0.52,-0.61,-0.11,-0.19,0.01,0.9,0.43,-0.26,0.11,0.38,0.05,-0.44,-0.15,-0.26,-0.02,0.22,0.05,0.18,-0.04,-0.03,-0.18,0.16,-0.16,-0.02,-0.01
-0.95,0.06,-2.38,1.03,1.01,-0.16,0.36,1.04,1.49,0.83,-0.11,-0.07,-0.16,-1.23,-0.87,-0.57,0.21,-0.28,0.34,-1.04,-0.25,-0.19,0.04,0.16,0.12,0.26,0.08,0.47,-0.09,0.09,-0.23,-0.38,-0.02,-0.2,-0.32,0.12,-0.14,0.08,-0.27,0.08,-0.0,-0.1,0.22
-1.0,-0.13,-2.34,0.97,1.24,-0.0,-0.03,1.17,1.04,0.54,0.27,0.15,-0.35,-0.38,0.11,0.38,-0.15,-0.54,-0.18,-0.39,0.3,-0.11,0.3,0.35,0.45,0.19,-0.07,0.03,0.0,-0.14,-0.03,-0.29,-0.12,-0.04,-0.25,0.24,-0.13,0.05,-0.25,0.12,0.12,-0.14,0.05
-0.9,-0.12,-2.0,0.65,0.92,0.19,0.19,1.66,1.49,0.63,0.07,0.25,-0.4,-1.04,0.54,0.18,-0.11,0.19,-0.55,-0.12,0.05,-0.28,0.07,0.58,-0.01,0.27,-0.24,0.48,0.28,-0.29,0.12,0.08,-0.17,-0.16,-0.05,-0.17,-0.07,0.13,0.02,0.08,-0.14,-0.08,0.12
-0.96,-0.42,-1.88,0.32,1.08,0.06,0.4,1.43,1.68,1.32,0.52,0.65,-0.6,-1.38,0.66,0.04,-0.03,0.35,0.04,-0.61,-0.33,-0.52,0.16,0.6,0.16,0.54,-0.13,0.39,0.0,-0.42,-0.19,-0.17,-0.02,0.11,-0.17,-0.0,-0.14,0.03,-0.1,0.18,-0.01,-0.14,-0.01
-0.98,-0.08,-1.82,0.75,1.34,0.07,0.06,1.37,0.79,0.73,0.75,0.41,0.02,-0.68,0.05,0.96,0.32,0.01,-0.01,-0.23,-0.23,-0.85,0.12,0.17,0.28,0.91,-0.04,0.1,0.22,-0.15,-0.03,-0.21,-0.17,0.01,-0.21,-0.32,-0.5,0.5,-0.06,0.01,-0.06,-0.04,0.02
-0.95,-0.05,-1.95,0.93,0.8,0.29,-0.19,1.33,0.81,1.1,0.22,-0.16,-0.38,-0.86,0.69,0.62,-0.18,0.51,0.25,-0.06,-0.27,-0.34,0.04,0.36,-0.03,0.51,-0.33,0.26,-0.28,-0.23,-0.07,0.01,-0.26,0.26,0.19,-0.2,-0.18,0.1,-0.04,-0.0,-0.25,-0.13,-0.07
-1.09,-0.21,-2.14,0.78,0.99,-0.15,0.2,1.46,1.04,1.07,0.51,0.37,-0.33,-1.1,0.43,0.26,0.44,0.29,-0.58,-0.5,-0.01,0.03,0.15,0.41,0.22,0.19,-0.23,1.11,0.08,-0.15,-0.26,0.01,-0.15,-0.12,-0.1,-0.07,-0.13,0.17,-0.2,0.08,-0.07,0.03,0.04
-1.04,0.04,-1.8,0.49,1.33,-0.1,0.14,0.84,1.42,0.49,-0.3,0.18,-0.57,-0.72,0.34,0.14,-0.34,0.26,0.31,-0.35,-0.43,-0.1,0.12,0.54,0.05,0.36,0.15,0.34,-0.17,0.21,-0.33,-0.04,-0.03,0.46,-0.02,0.02,-0.19,0.03,-0.12,0.05,-0.08,-0.11,0.15
-0.98,-0.43,-1.71,0.64,0.82,0.25,-0.23,1.67,0.75,0.85,0.53,0.67,-0.2,0.33,0.78,0.83,0.54,0.05,-0.2,0.23,-0.33,0.07,-0.01,0.52,0.58,0.42,-0.25,0.29,0.3,-0.31,-0.08,0.01,-0.4,-0.03,0.06,-0.1,0.03,-0.02,0.06,0.09,-0.13,0.02,-0.06
-1.03,-0.27,-2.04,0.86,1.17,-0.06,0.08,1.88,1.15,0.6,0.51,0.33,-0.28,-0.58,0.26,0.43,0.35,-0.0,0.27,0.24,-0.15,-0.4,-0.08,0.48,0.19,0.18,-0.22,-0.11,0.3,-0.1,-0.31,-0.04,-0.15,0.38,-0.04,-0.09,0.07,-0.0,-0.26,0.04,-0.05,0.04,-0.04
-0.99,-0.15,-1.98,0.59,1.08,0.08,0.24,1.96,1.0,0.81,0.07,0.81,-0.4,-0.12,0.99,0.4,0.69,-0.14,0.12,0.22,-0.62,-0.47,0.09,0.58,0.37,0.4,-0.55,-0.09,0.35,-0.37,-0.18,-0.1,-0.11,0.08,0.03,-0.1,-0.27,-0.0,-0.04,0.01,-0.22,-0.04,-0.03
-1.09,-0.08,-2.08,0.52,1.36,-0.28,0.35,1.56,1.22,0.79,0.32,0.61,-0.47,-0.86,0.75,0.43,0.67,-0.05,0.38,0.13,-0.39,-0.28,-0.38,0.11,-0.2,0.01,-0.44,0.13,0.07,-0.11,-0.22,-0.16,-0.44,0.04,0.08,-0.15,-0.03,-0.08,0.02,-0.15,-0.09,-0.1,-0.02
-1.04,-0.3,-1.99,0.62,1.38,-0.1,0.16,1.54,1.38,1.1,0.16,0.3,-0.1,-0.36,0.23,0.33,0.52,-0.11,0.4,-0.19,-0.35,-0.25,-0.13,0.35,-0.04,-0.05,-0.38,0.15,0.41,0.08,-0.41,-0.16,-0.41,0.01,0.13,0.0,-0.01,-0.03,-0.07,-0.02,-0.1,0.1,-0.04
-0.96,-0.24,-1.78,0.45,0.98,0.08,-0.16,1.0,1.55,0.75,0.2,0.44,-0.15,0.33,0.56,-0.01,0.02,0.04,0.36,-0.22,0.11,-0.27,0.28,0.32,0.15,0.22,-0.29,0.04,0.15,-0.24,-0.3,-0.21,-0.29,0.14,-0.41,-0.07,0.04,0.22,-0.14,-0.19,0.16,0.04,0.03
-0.92,-0.2,-1.72,0.92,1.45,0.1,0.46,0.85,1.09,0.45,-0.39,0.55,-0.13,-0.34,0.48,0.42,0.37,-0.12,0.1,-0.19,-0.16,0.03,0.0,0.32,0.25,0.05,-0.27,0.19,0.12,0.1,-0.04,-0.4,-0.32,0.1,0.01,-0.2,0.0,0.07,-0.01,0.04,-0.11,-0.02,-0.03
-0.89,-0.06,-2.08,0.88,1.45,-0.14,0.06,1.7,0.17,0.19,0.05,-0.33,-0.27,-0.98,-0.21,0.25,0.07,0.06,0.53,-0.53,0.23,0.24,0.19,0.24,-0.24,-0.15,-0.62,0.02,-0.4,-0.14,0.34,-0.06,-0.1,0.17,-0.15,-0.07,-0.27,0.06,-0.15,0.2,-0.19,-0.11,0.08
-0.91,0.34,-2.29,0.84,1.48,0.16,-0.05,1.32,0.66,0.88,-0.11,-0.12,-0.02,0.04,-0.2,0.51,-0.35,0.2,0.02,-0.21,-0.29,0.34,0.15,0.4,-0.07,0.17,-0.22,0.06,-0.18,-0.31,-0.18,-0.16,-0.15,0.2,-0.16,-0.02,-0.26,0.06,-0.11,0.01,-0.08,-0.08,0.07
-0.95,-0.0,-2.26,0.99,0.82,0.07,0.29,0.8,0.83,0.63,0.29,0.08,0.36,-0.59,-0.1,0.43,-0.34,0.26,0.16,0.2,-0.28,0.01,-0.01,0.37,-0.38,0.44,-0.1,0.12,-0.21,-0.23,0.01,0.12,-0.65,-0.09,-0.29,0.0,-0.03,0.01,0.01,-0.09,0.05,-0.17,-0.02
-0.89,-0.24,-1.87,0.47,1.11,0.17,0.12,1.15,0.58,0.66,-0.0,0.2,-0.56,-0.74,0.62,0.32,-0.17,0.2,0.15,-0.19,-0.12,-0.22,0.19,0.34,0.11,-0.01,-0.34,-0.36,0.28,-0.29,-0.18,-0.06,-0.09,0.08,-0.03,0.02,-0.17,0.05,-0.03,0.01,-0.06,-0.03,-0.04
-0.91,-0.24,-2.19,0.97,1.34,0.17,0.06,1.44,1.33,1.1,0.57,-0.17,0.48,-0.57,-0.39,0.26,0.4,0.42,0.55,0.12,-0.17,-0.07,-0.33,0.49,-0.15,0.11,-0.07,0.1,0.05,0.28,-0.02,-0.02,-0.13,0.04,0.07,-0.08,0.11,-0.19,0.03,-0.02,-0.09,0.01,0.01
-0.93,-0.23,-2.04,0.58,0.94,-0.55,0.37,1.05,0.85,0.11,-0.2,0.41,-0.87,-0.95,0.35,0.07,-0.15,-0.22,0.22,0.04,0.26,-0.3,-0.09,0.84,0.16,-0.25,0.04,0.32,0.04,-0.64,-0.12,-0.24,0.31,0.15,0.2,-0.06,0.04,-0.15,0.08,0.08,-0.24,-0.18,0.02
-0.93,-0.06,-1.87,0.62,1.15,0.46,0.01,1.72,1.93,0.9,0.19,-0.34,-0.58,-0.35,-0.07,0.03,0.74,0.11,0.47,-0.36,-0.16,0.16,0.24,0.49,-0.22,-0.28,-0.1,0.28,0.2,-0.43,-0.35,0.09,0.12,-0.04,0.15,-0.1,0.04,0.03,-0.2,-0.06,-0.03,0.01,-0.1
-0.91,-0.21,-2.03,0.38,0.66,-0.13,0.6,1.55,0.8,0.81,0.01,-0.03,-0.14,0.11,0.19,0.32,0.13,0.46,0.27,0.02,-0.13,-0.21,0.08,0.08,-0.29,0.13,-0.17,-0.01,0.05,-0.12,-0.41,-0.34,-0.13,-0.24,-0.07,-0.23,-0.04,-0.05,0.0,0.03,-0.12,0.05,0.01
-1.01,0.03,-1.93,1.03,1.28,-0.24,0.6,1.55,0.68,1.67,-0.1,0.34,0.57,0.16,0.8,0.27,0.59,-0.22,-0.29,-0.9,0.2,-0.03,0.03,0.52,0.44,0.24,0.03,0.14,0.52,0.08,-0.19,-0.0,-0.24,0.15,0.07,0.02,-0.21,-0.04,0.1,-0.07,-0.09,0.05,0.1
-0.83,-0.17,-1.98,0.74,0.83,-0.11,0.88,1.17,1.33,0.95,-0.19,0.42,-0.6,-0.62,0.58,0.4,-0.22,0.54,0.61,-0.22,-0.28,-0.35,-0.04,0.31,0.23,0.21,-0.23,0.08,-0.01,-0.15,-0.27,0.29,0.16,0.19,0.17,-0.22,0.19,-0.14,-0.02,0.13,-0.15,-0.03,-0.05
-0.91,-0.25,-1.81,0.48,0.37,0.12,0.25,1.29,1.39,0.65,-0.11,0.38,-0.24,-0.42,0.55,0.56,0.29,0.13,0.2,0.0,0.11,-0.37,0.36,0.4,0.62,0.12,0.13,0.05,-0.09,-0.04,-0.4,0.23,0.39,0.04,0.03,-0.03,-0.07,-0.33,-0.09,-0.01,-0.16,-0.0,-0.02
-0.88,-0.09,-2.01,0.77,1.28,0.28,0.29,1.76,1.01,0.85,0.11,0.17,-0.14,-0.86,0.69,0.29,0.02,0.1,1.09,0.21,-0.07,0.04,-0.08,0.25,0.19,0.43,-0.31,-0.27,-0.03,0.22,-0.12,-0.11,0.19,0.42,0.16,-0.23,-0.15,0.1,-0.25,0.15,-0.04,-0.05,-0.0
-0.9,-0.14,-1.85,0.52,0.92,0.02,0.08,1.02,0.9,0.66,-0.64,0.51,-0.29,-0.87,0.45,0.33,-0.16,-0.05,0.39,0.09,0.29,-0.25,0.18,0.23,0.27,0.26,-0.12,-0.33,-0.1,-0.32,-0.02,0.18,0.18,0.05,0.14,-0.02,0.02,-0.04,-0.13,0.1,-0.02,-0.04,0.07
-0.95,-0.23,-1.79,0.79,1.22,0.62,0.21,1.41,0.78,0.76,0.51,-0.93,-0.24,0.2,0.87,0.31,-0.35,0.64,0.37,0.18,0.04,-0.03,-0.14,0.01,0.42,-0.0,-0.07,-0.09,-0.11,-0.13,-0.15,0.17,0.27,-0.16,0.35,0.05,-0.1,0.09,-0.12,0.15,0.05,-0.02,0.02
-1.08,-0.23,-2.04,0.48,1.04,-0.16,-0.01,1.44,0.69,0.78,0.51,0.12,0.19,-0.57,0.23,0.53,-0.46,0.44,0.23,-0.31,0.21,-0.14,-0.2,0.21,0.18,0.3,0.1,0.29,0.01,0.06,-0.09,0.2,0.13,-0.35,0.21,0.07,-0.0,-0.27,-0.13,0.01,-0.26,-0.07,0.05
-0.89,-0.26,-1.69,0.69,0.95,0.05,0.37,1.45,1.01,0.75,0.28,-0.16,-0.3,-0.21,-0.03,-0.07,-0.28,1.22,0.43,0.28,-0.42,-0.12,-0.51,0.07,0.15,0.38,0.11,0.33,0.06,-0.01,-0.36,0.3,0.29,-0.34,0.12,-0.18,0.01,0.1,-0.13,-0.02,-0.01,0.07,0.07
-0.86,0.01,-1.92,0.77,1.07,0.14,0.38,1.41,0.89,0.66,0.62,-0.42,0.02,-0.15,0.55,0.3,-0.5,0.42,0.55,-0.06,0.05,-0.27,-0.41,0.25,0.12,-0.01,-0.17,-0.07,-0.08,-0.52,-0.36,-0.07,0.41,-0.06,-0.02,-0.15,-0.11,0.08,0.02,-0.08,-0.06,0.07,0.05
-0.9,-0.13,-2.07,0.97,1.04,0.0,0.08,0.96,0.62,0.99,0.06,-0.11,0.25,-0.22,0.69,0.65,-0.57,1.38,0.41,0.01,-0.11,0.03,-0.09,0.24,0.27,-0.19,0.05,-0.09,0.39,-0.06,-0.38,0.35,0.52,-0.23,0.07,0.25,-0.06,-0.0,-0.11,0.06,-0.06,0.13,-0.03
-0.81,0.03,-2.11,1.36,0.84,0.02,0.75,1.5,1.22,0.91,0.09,0.39,0.19,-0.21,0.19,0.4,-0.12,0.55,-0.18,-0.28,0.28,-0.04,-0.59,0.39,0.6,-0.16,0.13,-0.18,-0.13,-0.15,0.14,0.17,0.03,-0.3,0.25,0.16,0.42,-0.22,0.2,-0.11,-0.12,0.03,0.12
-0.96,-0.2,-1.78,0.7,1.27,0.14,0.43,0.61,1.17,0.71,0.46,-0.24,0.03,0.41,0.39,0.47,-0.25,0.97,0.87,-0.11,0.15,0.08,-0.5,0.66,-0.07,-0.19,-0.26,0.02,0.17,-0.04,-0.3,0.44,0.16,-0.07,0.35,0.03,0.37,-0.06,0.12,0.04,-0.07,0.06,-0.02
-0.95,-0.01,-1.8,0.91,1.35,0.26,0.23,1.28,1.01,0.89,0.2,-0.07,0.4,0.5,0.81,0.8,-0.69,0.56,0.62,0.29,0.4,0.32,-0.23,0.24,-0.03,-0.33,-0.45,-0.22,-0.12,-0.32,-0.12,0.12,0.12,-0.17,0.28,0.09,0.12,0.05,-0.08,0.13,0.05,0.01,-0.05
-0.75,-0.27,-1.75,0.75,1.03,0.41,0.82,1.4,0.9,1.65,0.82,-0.91,0.15,-0.55,0.52,0.7,-1.15,1.47,1.11,-0.38,0.16,-0.28,-0.32,0.07,0.14,0.02,0.24,0.25,0.09,-0.12,-0.53,0.21,0.28,0.02,0.25,0.01,0.22,-0.0,0.03,0.08,-0.05,-0.03,-0.0
-0.76,-0.17,-1.7,1.0,1.28,0.38,0.3,2.38,0.48,1.39,0.53,-0.45,-0.28,-1.21,0.9,-0.04,-0.26,0.36,0.69,-0.49,-0.05,-0.03,-0.09,0.21,0.32,0.15,0.1,-0.41,-0.28,0.36,-0.51,0.22,0.29,0.29,-0.03,-0.03,0.03,-0.01,0.19,0.13,0.02,0.12,0.01
-0.75,0.14,-2.27,1.2,0.27,0.6,0.58,1.77,1.34,1.48,0.25,-0.19,0.47,-0.47,0.1,0.62,-0.26,0.67,0.98,0.28,-0.11,-0.28,0.23,-0.3,-0.13,0.15,0.11,-0.03,0.19,-0.33,-0.65,0.53,0.22,-0.07,0.29,0.32,-0.09,-0.15,-0.19,-0.01,0.05,0.09,-0.27
-0.93,0.18,-1.87,1.2,0.61,0.16,0.75,1.79,1.33,0.85,0.34,0.25,-0.49,-0.6,0.24,-0.05,0.31,0.0,0.19,-0.5,-0.13,-0.15,-0.01,0.35,0.33,0.32,-0.09,0.18,0.17,-0.27,-0.03,0.16,0.04,0.25,-0.15,-0.24,-0.13,-0.02,0.08,-0.01,-0.03,0.07,0.0
-0.8,0.14,-2.38,1.3,0.37,0.29,0.41,0.89,1.65,0.72,-0.42,0.01,-0.28,-0.33,0.31,0.08,0.47,0.36,0.03,-0.62,0.01,-0.37,-0.18,-0.06,0.39,-0.35,0.11,0.21,0.11,-0.19,-0.06,-0.39,0.17,0.38,-0.13,-0.12,0.06,0.14,-0.1,0.13,-0.02,0.11,-0.07
